product_id,product_variant_id,product_variant_title,pais,tipo,classificacao,uva,tamanho,tampa,harmonizacao
9537,9171,Vinho Tinto Merlot Santa Helena Reservado 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9538,9172,Vinho Branco Sauvignon Blanc Santa Helena 750ml,Chile,Branco,Seco,Sauvignon Blanc,750ml,Rolha,"Carnes brancas, Frutos do mar, Saladas e aperitivos"
9539,9173,Vinho Tinto Cabernet Merlot Santa Helena Reservado 750ml,Chile,Tinto,Seco,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9540,9174,Vinho Tinto Carménère Santa Helena Reservado 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9541,9175,Vinho Tinto Cabernet Sauvignon Santa Helena Reservado 750ml,Chile,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9542,9176,Vinho Tinto Malbec Santa Helena Reservado 750ml,Chile,Tinto,Seco,Malbec,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9543,9177,Vinho Branco Chardonnay Santa Helena Reservado 750ml,Chile,Branco,Seco,Chardonnay,750ml,Rolha,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
9566,9200,Vinho Tinto Seco Pinot Noir Santa Helena Gran Reserva 750ml,Chile,Tinto,Seco,Pinot Noir,750ml,Rolha,"Carnes brancas, Carnes de caça, Saladas e aperitivos"
9567,9201,Espumante Brut Salton 750ml,Brasil,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9568,9202,Espumante Salton Brut Rosé 750ml,Brasil,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9612,9246,Espumante Cava Brut Rosé Toro Loco 750ml,Espanha,Espumante,Seco,Outras,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9613,9247,Espumante Cava Brut Toro Loco 750ml,Espanha,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9614,9248,Vinho Branco Jurupinga Dinalle 975ml,Brasil,Branco,Suave,Outras,Outros,Rosca,"Carnes brancas, Frutos do mar, Pratos apimentados, Queijos, Risoto e Massas de Molho Branco, Saladas e aperitivos, Sobremesas"
9617,9251,Vinho Tinto Suave de Mesa Pérgola 1L,Brasil,Tinto,Suave,Blend,1L,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9623,9257,Vinho Tinto Suave Chalise 750ml,Brasil,Tinto,Suave,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9624,9258,Vinho Branco Suave Góes Tradição 750ml,Brasil,Branco,Suave,Blend,750ml,Rosca,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
9629,9263,Vinho Bordô Tinto Suave Tradição Góes 750ml,Brasil,Tinto,Suave,Blend,750ml,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9634,9268,Vinho Tinto Regional Duriense Gravuras do Côa 750ml,Portugal,Tinto,Seco,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9635,9269,Vinho Branco Regional Duriense Gravuras do Côa 750ml,Portugal,Branco,Seco,Blend,750ml,Rolha,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
9638,9271,Vinho Tinto Dão Caminho Romano 750ml,Portugal,Tinto,Seco,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9639,9272,Vinho Tinto de Mesa Vino Rosso 750ml,Itália,Tinto,Seco,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9640,9273,Vinho Tinto Negroamaro Corte Lavinia 750ml,Itália,Tinto,Seco,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9641,9274,Vinho Rosé Gala Rosato 750ml,Itália,Rose,Seco,Outras,750ml,Rolha,"Carnes brancas, Frutos do mar, Pizzas e Massas de Molho Vermelho, Pratos apimentados, Queijos, Saladas e aperitivos, Sobremesas"
9642,9275,Vinho Verde Terras da Nóbrega 750ml,Portugal,Outros,Seco,Blend,750ml,Rolha,
9674,9307,Espumante Chandon Réserve Brut 750ml,Brasil,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9675,9308,Espumante Chandon Réserve Brut Baby 187ml,Brasil,Espumante,Brut,Blend,Outros,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9677,9310,Vinho Tinto Cantina da Serra 880ml,Brasil,Tinto,Suave,Blend,Outros,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9678,9311,Espumante Brut Salton 750ml,Brasil,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9706,9339,Vinho Tinto Malbec Santa Helena 750ml,Chile,Tinto,Seco,Malbec,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9707,9340,Vinho Tinto Merlot Santa Helena Reservado 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9708,9341,Vinho Tinto Carménère Santa Helena Reservado 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9709,9342,Vinho Tinto Suave Chalise 750ml,Brasil,Tinto,Suave,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9806,9439,Cooler Sabor Abacaxi Nono Tomasi 750ml,Brasil,Branco,Suave,Outras,750ml,Rosca,"Carnes brancas, Frutos do mar, Pratos apimentados, Queijos, Risoto e Massas de Molho Branco, Saladas e aperitivos, Sobremesas"
9808,9441,Vinho Tinto de Mesa Seco Tomio 750ml,Brasil,Tinto,Seco,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9809,9442,Coquetel Cantinho do Vale 2L,Brasil,Tinto,Suave,Outras,Outros,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9868,9501,Vinho Tinto Suave Santomé 1L,Brasil,Tinto,Suave,Blend,1L,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9869,9502,Vinho Tinto Suave Santomé 750ml,Brasil,Tinto,Suave,Blend,750ml,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9886,9519,Espumante Moscatel Salton 750ml,Brasil,Espumante,Suave,Moscato,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos, Sobremesas"
9896,9528,Espumante Moscatel Georges Aubert 750ml,Brasil,Espumante,Suave,Moscato,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos, Sobremesas"
9897,9529,Espumante Rosé Brut Georges Aubert 750ml,Brasil,Espumante,Brut,Pinot Noir,750ml,Rolha,"Frutos do mar, Pratos apimentados, Queijos, Saladas e aperitivos"
9898,9530,Espumante Branco Brut Rio Sol 750ml,Brasil,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9899,9531,Espumante Demi-Sec Rio Sol 750ml,Brasil,Espumante,Demi-Sec,Moscato,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos, Sobremesas"
9900,9532,Espumante Massimiliano Brut 750ml,Brasil,Espumante,Brut,Outras,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
9901,9533,Espumante Massimiliano Demi-Sec 750ml,Brasil,Espumante,Demi-Sec,Chardonnay,750ml,Rolha,"Frutos do mar, Pratos apimentados, Queijos, Saladas e aperitivos"
9902,9534,Espumante Massimiliano Moscatel 750ml,Brasil,Espumante,Suave,Moscato,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos, Sobremesas"
9916,9548,Vinho Tinto Bordô Suave Quinta do Morgado 1L,Brasil,Tinto,Suave,Blend,1L,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9917,9549,Vinho Tinto Suave Naturelle 750ml,Brasil,Tinto,Suave,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9918,9550,Vinho Tinto Seco Cabernet Sauvignon Carta Vieja 750ml,Chile,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9919,9551,Vinto Tinto Seco Carménère Carta Vieja 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9920,9552,Vinho Tinto Seco Merlot Carta Vieja 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9921,9553,Vinho Tinto Seco Cabernet Sauvignon Casillero Del Diablo 750ml,Chile,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9922,9554,Vinho Tinto Merlot Casillero Del Diablo 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9923,9555,Vinho Tinto Seco Merlot Casillero Del Diablo 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9924,9556,Vinho Tinto Seco Malbec Punto Final 750ml,Argentina,Tinto,Seco,Malbec,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9925,9557,Vinho Tinto Seco Cabernet Sauvignon Faro I8 750ml,Chile,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9926,9558,Vinho Tinto Seco Carménère Faro I8 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9927,9559,Vinho Tinto Seco Merlot Faro I8 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9928,9560,Vinho Tinto Assemblage Massimiliano Demi-Sec 750ml,Brasil,Tinto,Demi-Sec,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9929,9561,Vinho Tinto Seco Cabernet Sauvignon Massimiliano 750ml,Brasil,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9930,9562,Vinho Branco Chardonnay I8 750ml,Chile,Branco,Seco,Chardonnay,750ml,Rolha,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
9931,9563,Vinho Branco Riesling Almadén 750ml,Brasil,Branco,Seco,Riesling,750ml,Rosca,"Pratos apimentados, Saladas e aperitivos, Sobremesas"
9934,9566,Vinho Branco Sauvignon Blanc Gato Negro 750ml,Chile,Branco,Seco,Sauvignon Blanc,750ml,Rosca,"Carnes brancas, Frutos do mar, Saladas e aperitivos"
9946,9578,Vinho Tinto Suave de Mesa Original Góes 750ml,Brasil,Tinto,Suave,Outras,750ml,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9969,9601,Vinho Tinto Suave Campo Largo 750ml,Brasil,Tinto,Suave,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9970,9602,Vinho Tinto Carménère Reservado Concha y Toro 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9978,9610,Vinho Tinto Suave Galiotto 1L,Brasil,Tinto,Suave,Blend,1L,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9989,9621,Vinho Tinto Clássico Bolla Valpolicella 750ml,Itália,Tinto,Seco,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9992,9624,Vinho Tinto Seco Sangue de Boi 750ml,Brasil,Tinto,Seco,Blend,750ml,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9993,9625,Vinho Tinto Seco Santomé 1L,Brasil,Tinto,Seco,Outras,1L,Rosca,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9994,9626,Vinho Branco Chardonnay Santa Alicia 750ml,Chile,Branco,Seco,Chardonnay,750ml,Rolha,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
9995,9627,Vinho Tinto Frisante Amabile Lambrusco Villa Fabrizia 750ml,Itália,Tinto,Suave,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
9996,9628,Vinho Tinto Carménère Santa Alicia 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9997,9629,Vinho Tinto Cabernet Sauvignon Fincas Privadas 750ml,Argentina,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
9998,9630,Vinho Branco Amabile Lambrusco Villa Fabrizia 750ml,Itália,Branco,Suave,Outras,750ml,Rolha,"Carnes brancas, Frutos do mar, Pratos apimentados, Queijos, Risoto e Massas de Molho Branco, Saladas e aperitivos, Sobremesas"
10008,9640,Vinho Tinto Periquita 750ml,Portugal,Tinto,Seco,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10031,9662,Vinho Branco Doce Vermouth Contini 900ml,Itália,Branco,Suave,Blend,Outros,Rosca,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
10033,9664,Vinho Tinto Merlot Valle Central Santa Alicia 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10034,9665,Vinho Tinto Cabernet Sauvignon Valle Central Santa Alicia 750ml,Chile,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
10037,9668,Vinho Tinto Malbec Fincas Privadas 750ml,Argentina,Tinto,Seco,Malbec,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10038,9669,Vinho Tinto Bonarda Fincas Privadas 750ml,Argentina,Tinto,Seco,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10056,9687,Vinho Tinto Syrah Fincas Privadas 750ml,Argentina,Tinto,Seco,Syrah,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Pratos apimentados"
10057,9688,Vinho Branco Suave de Mesa Pérgola 1L,Brasil,Branco,Suave,Blend,1L,Rolha,"Carnes brancas, Frutos do mar, Risoto e Massas de Molho Branco"
10058,9689,Vinho Tinto de Mesa Seco Vilena 750ml,Brasil,Tinto,Seco,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10059,9690,Vinho Tinto de Mesa Suave Vilena 750ml,Brasil,Tinto,Suave,Outras,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10118,9748,Vinho Tinto Suave de Mesa Pérgola 750ml,Brasil,Tinto,Suave,Blend,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10119,9749,Chopp de Vinho Draft 600ml,Brasil,Outros,Suave,Outras,Outros,Outra,
10126,9756,Vinho Tinto Cabernet Sauvignon Trapiche Vineyards 750ml,Argentina,Tinto,Seco,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
10210,9840,Espumante Mumm Cuvée Brut Argentino 750ml,Argentina,Espumante,Brut,Blend,750ml,Rolha,"Frutos do mar, Queijos, Saladas e aperitivos"
10270,9892,Vinho Tinto Cabernet Sauvignon Reservado Concha y Toro 750ml,Chile,Tinto,Demi-Sec,Cabernet Sauvignon,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
10271,9893,Vinho Tinto Carménère Reservado Concha y Toro 750ml,Chile,Tinto,Seco,Carmeneré,750ml,Rolha,"Carnes de caça, Carnes vermelhas, Queijos"
10272,9894,Vinho Tinto Merlot Reservado Concha y Toro 750ml,Chile,Tinto,Seco,Merlot,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
10273,9895,Vinho Tinto Malbec Reservado Concha y Toro 750ml,Chile,Tinto,Demi-Sec,Malbec,750ml,Rolha,"Carnes vermelhas, Pizzas e Massas de Molho Vermelho, Queijos"
